iter	Passed	Remaining
0	0	777
1	1	676
2	2	665
3	2	635
4	3	625
5	3	613
6	4	605
7	4	606
8	5	602
9	5	590
10	6	583
11	7	583
12	7	574
13	8	569
14	8	564
15	9	556
16	9	550
17	10	545
18	10	542
19	10	537
20	11	535
21	11	531
22	12	529
23	12	525
24	13	525
25	14	526
26	14	523
27	15	527
28	15	525
29	16	527
30	16	525
31	17	522
32	17	522
33	18	519
34	18	517
35	19	515
36	19	513
37	20	515
38	20	514
39	21	516
40	22	515
41	22	516
42	23	515
43	23	513
44	24	511
45	24	509
46	25	507
47	25	506
48	26	505
49	26	504
50	26	502
51	27	501
52	28	501
53	28	499
54	29	499
55	29	499
56	30	497
57	30	497
58	31	497
59	31	497
60	32	496
61	32	496
62	33	496
63	33	495
64	34	493
65	34	492
66	35	491
67	35	489
68	36	488
69	36	487
70	37	485
71	37	484
72	38	483
73	38	483
74	39	482
75	39	482
76	40	481
77	40	480
78	41	479
79	41	478
80	42	477
81	42	476
82	42	472
83	43	472
84	43	472
85	44	471
86	44	470
87	45	469
88	45	470
89	46	469
90	46	469
91	47	469
92	48	469
93	48	469
94	49	469
95	49	468
96	50	468
97	50	468
98	51	467
99	51	466
100	52	465
101	52	464
102	53	463
103	53	462
104	54	462
105	54	462
106	55	461
107	55	461
108	56	460
109	56	460
110	57	460
111	58	460
112	58	460
113	59	459
114	59	459
115	60	459
116	60	458
117	61	458
118	62	461
119	62	461
120	63	461
121	63	459
122	64	459
123	64	458
124	65	459
125	66	458
126	66	459
127	67	458
128	68	460
129	69	462
130	69	461
131	70	460
132	70	460
133	71	459
134	71	458
135	72	457
136	73	460
137	74	464
138	75	467
139	76	467
140	76	467
141	76	465
142	77	464
143	78	463
144	78	462
145	79	462
146	79	462
147	80	461
148	80	461
149	81	460
150	87	494
151	88	494
152	89	493
153	89	492
154	90	491
155	90	490
156	90	488
157	91	487
158	91	486
159	92	485
160	92	483
161	93	482
162	93	481
163	94	479
164	94	478
165	95	477
166	95	476
167	95	475
168	96	473
169	96	472
170	97	471
171	97	470
172	98	469
173	98	468
174	99	467
175	99	466
176	100	465
177	100	464
178	101	463
179	101	464
180	102	463
181	102	462
182	103	461
183	103	460
184	104	459
185	104	459
186	105	458
187	105	457
188	106	456
189	106	455
190	107	454
191	107	453
192	108	452
193	108	451
194	109	451
195	109	450
196	110	449
197	110	448
198	111	447
199	111	446
200	112	445
201	112	444
202	113	443
203	113	442
204	113	441
205	114	441
206	114	440
207	115	439
208	116	439
209	116	438
210	117	438
211	117	438
212	118	437
213	119	437
214	119	436
215	120	436
216	120	435
217	121	435
218	121	435
219	122	434
220	122	433
221	123	432
222	123	431
223	124	431
224	124	430
225	125	429
226	125	428
227	126	428
228	126	427
229	127	426
230	127	426
231	128	425
232	129	424
233	129	423
234	130	423
235	130	422
236	131	422
237	131	422
238	132	421
239	132	420
240	133	420
241	133	419
242	134	418
243	134	417
244	135	416
245	135	416
246	136	415
247	136	414
248	137	413
249	137	413
250	138	413
251	139	412
252	139	412
253	140	411
254	140	410
255	141	410
256	141	409
257	142	408
258	142	407
259	143	407
260	143	406
261	144	406
262	144	405
263	145	404
264	145	404
265	146	403
266	146	403
267	147	402
268	147	401
269	148	401
270	148	400
271	149	399
272	149	399
273	150	398
274	150	397
275	151	396
276	151	396
277	152	395
278	152	394
279	153	393
280	153	393
281	154	392
282	154	391
283	155	391
284	155	390
285	156	389
286	156	388
287	156	388
288	157	387
289	157	386
290	158	385
291	158	384
292	159	384
293	159	383
294	160	382
295	160	382
296	161	381
297	161	380
298	162	380
299	162	379
300	163	379
301	163	378
302	164	378
303	164	377
304	165	377
305	165	376
306	166	375
307	166	375
308	167	374
309	168	374
310	168	373
311	169	372
312	169	372
313	170	371
314	170	371
315	171	370
316	171	370
317	172	369
318	172	369
319	173	368
320	173	367
321	174	367
322	174	366
323	175	366
324	176	365
325	176	365
326	177	364
327	177	364
328	178	363
329	178	362
330	179	362
331	179	361
332	180	360
333	180	359
334	181	359
335	181	358
336	182	358
337	182	357
338	183	357
339	183	356
340	184	356
341	184	355
342	185	354
343	185	354
344	186	353
345	186	352
346	187	352
347	187	351
348	188	351
349	188	350
350	189	350
351	189	349
352	190	348
353	190	348
354	191	347
355	191	346
356	192	345
357	192	345
358	193	344
359	193	344
360	194	343
361	194	343
362	195	342
363	195	342
364	196	341
365	196	341
366	197	340
367	197	339
368	198	339
369	199	338
370	199	338
371	199	337
372	200	336
373	200	336
374	201	335
375	201	335
376	202	334
377	202	333
378	203	332
379	203	332
380	204	331
381	204	331
382	205	330
383	205	329
384	206	329
385	206	328
386	207	328
387	207	327
388	207	326
389	208	325
390	208	325
391	209	324
392	209	324
393	210	323
394	210	322
395	211	322
396	211	321
397	212	321
398	212	320
399	213	319
400	213	319
401	214	318
402	214	318
403	215	317
404	215	317
405	216	316
406	216	316
407	217	315
408	217	314
409	218	314
410	218	313
411	219	313
412	220	313
413	220	312
414	221	312
415	221	311
416	222	311
417	222	310
418	223	310
419	224	309
420	224	308
421	224	308
422	225	307
423	226	307
424	226	306
425	227	306
426	227	305
427	228	304
428	228	304
429	229	303
430	229	303
431	230	302
432	230	302
433	231	302
434	232	301
435	232	301
436	233	300
437	233	300
438	234	299
439	234	298
440	235	298
441	235	297
